Cust Name,Cust State,Customer ID,Customer Type,Emp ID,Employee Job Title,Employee Name,Order Date,Order Num,Order Type,Prod Category,Prod Name,Prod Number,Sales Region,Discount,Order Total,Price,Quantity
Abey Jacquemard,Texas,2206,Individual,900019019,Senior Sales Associate,Tiffany Cooper,01/01/2021,1105195,Retail,Mineral water,Mineral Water - Cranberry - 32oz - case,MW272,S Central East,0,41.98,20.99,2
Lynnelle Beckensall,Pennsylvania,2613,Individual,900016439,Sales Associate IV,Alyssa Jackson,01/01/2021,1105196,Retail,Mineral water,Mineral Water - Strawberry - 32oz - case,MW262,Northeast,0,62.97,20.99,3
Alphonso Grzelewski,Arizona,1114,Individual,900017953,Sales Associate I,Carrie Jordan,01/01/2021,1105197,Retail,Supplements,Vitamin B-complex - 200 capsules,SP607,S Central West,0,24.1,24.1,1
Agata Scawton,Texas,3879,Individual,900018712,Sales Associate II,Dru Clingman,01/01/2021,1105198,Retail,Supplements,Iron 65 mg - 80 capsules,SP202,S Central East,0,14.25,4.75,3
Beulah Lorey,North Dakota,4126,Individual,900016111,Sales Associate I,Edward Loveless,01/01/2021,1105199,Retail,Supplements,Iron 65 mg - 80 capsules,SP202,N Central West,0,9.5,4.75,2
Dionisio Van Giffen,Florida,3629,Individual,900011701,Sales Representative,Susan Dixon,01/01/2021,1105200,Retail,Supplements,Vitamin B-complex - 160 capsules,SP203,Southeast,0,19.52,19.52,1
Maryjo Jacobs,Oklahoma,1245,Individual,900016320,Sales Associate II,Paul Turner,01/01/2021,1105201,Retail,Fitness,Kettlebell - 25 lb,FT357,S Central East,0,69.99,69.99,1
Kailey Lapthorne,Pennsylvania,1430,Individual,900014621,Sales Associate II,Shantel Francis,01/01/2021,1105202,Retail,Fitness,Slam ball - 5 lb,FT280,Northeast,0,43.95,43.95,1
Fairfax Manifould,Massachusetts,1193,Individual,900015105,Sales Representative,Sharla Campbell,01/01/2021,1105203,Retail,Mineral water,Mineral Water - Natural -  32oz - case,MW202,Northeast,0,16.99,16.99,1
Adel Duberry,New Jersey,3927,Individual,900015105,Sales Representative,Sharla Campbell,01/01/2021,1105204,Retail,Mineral water,Mineral Water - Lemon - 32oz - case,MW222,Northeast,0,62.97,20.99,3
Bliss Cordoba,District of Columbia,3665,Individual,900018213,Senior Sales Representative,Tony Hendricks,01/01/2021,1105205,Retail,Supplements,Vitamin C-1000 mg - 140 tablets,SP126,Central East,0,14.6,14.6,1
Bernardine McCarthy,North Dakota,3084,Individual,900016111,Sales Associate I,Edward Loveless,01/01/2021,1105206,Retail,Fitness,Yoga ball - 55cm,FT609,N Central West,0,20.79,20.79,1
Ned Valentinuzzi,Ohio,3617,Individual,900015499,Senior Sales Associate,Lauren Skip,01/01/2021,1105207,Retail,Mineral water,Mineral Water - Blueberry - 32oz - case,MW122,N Central East,0,20.99,20.99,1
Waelchi Group,West Virginia,3178,Business,900014055,Sales Associate II,Daniel Phillips,02/01/2021,1105208,Retail,Supplements,Iron 65 mg - 80 capsules,SP202,Central East,0,1676.75,4.75,353
Mikol Yitzhak,Pennsylvania,1486,Individual,900016439,Sales Associate IV,Alyssa Jackson,02/01/2021,1105209,Retail,Mineral water,Mineral Water - Blueberry - 32oz - case,MW122,Northeast,0,125.94,20.99,6
Randy Devo,Connecticut,2386,Individual,900016439,Sales Associate IV,Alyssa Jackson,02/01/2021,1105210,Retail,Supplements,Vitamin C-1000 mg - 140 tablets,SP126,Northeast,0,29.2,14.6,2
Hillier Endrizzi,Ohio,1539,Individual,900012746,Senior Sales Representative,Becky Allen,02/01/2021,1105211,Retail,Supplements,Multivitamin - 180 capsules,SP120,N Central East,0,55,27.5,2
Ermentrude Hegley,Kentucky,1212,Individual,900012995,Senior Sales Representative,Brenda Johnson,02/01/2021,1105212,Retail,Supplements,Flaxseed Oil 1000mg - 90 capsules,SP304,Central East,0,12.49,12.49,1
Jess Heindrick,Texas,2379,Individual,900012203,Sales Associate I,Christen Barrett,02/01/2021,1105213,Retail,Fitness,Battle rope - 2 inch,FT871,S Central East,0,120.25,120.25,1
Renato Tuxwell,Illinois,2587,Individual,900010428,Sales Representative,Cory Hall,02/01/2021,1105214,Retail,Fitness,Slam ball - 25 lb,FT139,N Central East,0,55.95,55.95,1
Raff Fulk,Idaho,3661,Individual,900010836,Senior Sales Representative,Constantine Acosta,02/01/2021,1105215,Retail,Fitness,Yoga mat - 6mm,FT853,Northwest,0,29.99,29.99,1
Nadeen Favela,Arizona,3042,Individual,900012320,Sales Associate,Mary Hamilton,02/01/2021,1105216,Retail,Mineral water,Mineral Water - Lemon -  20oz - case,MW122,S Central West,0,29.98,14.99,2
Westbrooke Conybear,Texas,2413,Individual,900018712,Sales Associate II,Dru Clingman,02/01/2021,1105217,Retail,Supplements,Magnesium 250 mg - 160 tablets,SP305,S Central East,0,32.65,32.65,1
Goldner Inc,Colorado,1161,Business,900017953,Sales Associate I,Carrie Jordan,02/01/2021,1105218,Wholesale,Mineral water,Mineral Water - Raspberry - 32oz - case,MW252,S Central West,0.05,1763.11,20.99,84
Langosh Inc,Colorado,4071,Business,900012320,Sales Associate,Mary Hamilton,03/01/2021,1105219,Retail,Mineral water,Mineral Water - Strawberry - 32oz - case,MW262,S Central West,0,5919.18,20.99,282
Lucinda Dangerfield,Delaware,1116,Individual,900018213,Senior Sales Representative,Tony Hendricks,03/01/2021,1105220,Retail,Supplements,Iron 65 mg - 80 capsules,SP202,Central East,0,9.5,4.75,2
Derk Duddan,New Jersey,2349,Individual,900016439,Sales Associate IV,Alyssa Jackson,03/01/2021,1105221,Retail,Fitness,Insulated water bottle - 40oz - Green,FT682,Northeast,0,57.58,28.79,2
Ermentrude Hegley,Kentucky,1212,Individual,900012995,Senior Sales Representative,Brenda Johnson,03/01/2021,1105222,Retail,Mineral water,Mineral Water - Orange -  20oz - case,MW132,Central East,0,29.98,14.99,2
Merrill Greenroyd,Arizona,3724,Individual,900012320,Sales Associate,Mary Hamilton,03/01/2021,1105223,Retail,Supplements,Vitamin B-complex - 100 capsules,SP125,S Central West,0,13.45,13.45,1
Curran MacMichael,Arizona,2415,Individual,900020001,Sales Representative,Morten Shivers,03/01/2021,1105224,Retail,Supplements,Multivitamin - 120 capsules,SP303,S Central West,0,43.2,21.6,2
Judi Craddy,Texas,1542,Individual,900016320,Sales Associate II,Paul Turner,03/01/2021,1105225,Retail,Fitness,Insulated water bottle - 40oz - Grey,FT895,S Central East,0,28.79,28.79,1
Geneva Iacivelli,New York,3906,Individual,900014621,Sales Associate II,Shantel Francis,03/01/2021,1105226,Retail,Mineral water,Mineral Water - Raspberry - 32oz - case,MW252,Northeast,0,20.99,20.99,1
Claybourne Andrichuk,Ohio,1689,Individual,900010428,Sales Representative,Cory Hall,03/01/2021,1105227,Retail,Mineral water,Mineral Water - Orange - 32oz - case,MW232,N Central East,0,20.99,20.99,1
Delila Dabinett,Indiana,3333,Individual,900012283,Sales Associate,Nicole Hansen,03/01/2021,1105228,Retail,Mineral water,Mineral Water - Orange - 32oz - case,MW232,N Central East,0,83.96,20.99,4
Bentley Vynoll,California,3232,Individual,900013621,Sales Associate,Hannah Rosenstock,03/01/2021,1105229,Retail,Mineral water,Mineral Water - Strawberry - 32oz - case,MW262,Southwest,0,62.97,20.99,3
Karim Coen,Georgia,3063,Individual,900016625,Sales Representative,Marshal Alexander,03/01/2021,1105230,Retail,Supplements,Multivitamin - 180 capsules,SP120,Southeast,0,27.5,27.5,1
Jacquie Gethins,Massachusetts,1878,Individual,900015105,Sales Representative,Sharla Campbell,03/01/2021,1105231,Retail,Supplements,Flaxseed Oil 1000mg - 90 capsules,SP304,Northeast,0,24.98,12.49,2
Lem Stenhouse,Washington,2278,Individual,900013610,Sales Associate I,Sue Nguyen,04/01/2021,1105232,Retail,Mineral water,Mineral Water - Blueberry - 32oz - case,MW122,Northwest,0,41.98,20.99,2
Dionne Armytage,California,2930,Individual,900013621,Sales Associate,Hannah Rosenstock,04/01/2021,1105233,Retail,Supplements,Vitamin C-1000 mg - 80 tablets,SP306,Southwest,0,9.49,9.49,1
Fiorenze Uebel,Ohio,1565,Individual,900012283,Sales Associate,Nicole Hansen,04/01/2021,1105234,Retail,Supplements,Vitamin C-1000 mg - 140 tablets,SP126,N Central East,0,14.6,14.6,1
Warden Schmuhl,California,2668,Individual,900019907,Sales Associate I,Lorrie Ellison,04/01/2021,1105235,Retail,Supplements,Vitamin C-1000 mg - 140 tablets,SP126,Southwest,0,29.2,14.6,2
Michael Johannesson,Texas,2159,Individual,900016320,Sales Associate II,Paul Turner,04/01/2021,1105236,Retail,Supplements,Magnesium 250 mg - 100 tablets,SP123,S Central East,0,44.7,22.35,2
Hauck LLC,New York,1900,Business,900016439,Sales Associate IV,Alyssa Jackson,04/01/2021,1105237,Wholesale,Mineral water,Mineral Water - Natural -  32oz - case,MW202,Northeast,0.11,4638.16,16.99,273
Rippin Group,Colorado,2971,Business,900012281,Sales Associate I,Logan Augur,04/01/2021,1105238,Wholesale,Mineral water,Mineral Water - Peach -32oz - case,MW242,S Central West,0.15,3106.37,20.99,148
Hyatt Darwent,Virginia,1632,Individual,900012995,Senior Sales Representative,Brenda Johnson,04/01/2021,1105239,Retail,Supplements,Vitamin B-complex - 160 capsules,SP203,Central East,0,39.04,19.52,2
August Cumberpatch,Ohio,1283,Individual,900012506,Sales Associate V,Lisa Sanchez,04/01/2021,1105240,Retail,Supplements,Vitamin B-complex - 160 capsules,SP203,N Central East,0,19.52,19.52,1
Amitie Alyokhin,Pennsylvania,3687,Individual,900014621,Sales Associate II,Shantel Francis,04/01/2021,1105241,Retail,Supplements,Calcium 400 IU - 200 tablets,SP603,Northeast,0,16.99,16.99,1
Flatley Inc,Michigan,1850,Business,900012283,Sales Associate,Nicole Hansen,05/01/2021,1105242,Wholesale,Mineral water,Mineral Water - Natural -  32oz - case,MW202,N Central East,0.15,3075.04,16.99,181
Robin Kidwell,Tennessee,2630,Individual,900018213,Senior Sales Representative,Tony Hendricks,05/01/2021,1105243,Retail,Fitness,Insulated water bottle - 24oz - Purple,FT181,Central East,0,19.99,19.99,1
Waring Pickering,Louisiana,2598,Individual,900012203,Sales Associate I,Christen Barrett,05/01/2021,1105244,Retail,Fitness,Kettlebell - 25 lb,FT357,S Central East,0,69.99,69.99,1
Amargo Funcheon,Colorado,3626,Individual,900012320,Sales Associate,Mary Hamilton,05/01/2021,1105245,Retail,Mineral water,Mineral Water - Mango -  20oz - case,MW182,S Central West,0,29.98,14.99,2
Beret Sheerin,California,3371,Individual,900019907,Sales Associate I,Lorrie Ellison,05/01/2021,1105246,Retail,Supplements,Vitamin C-1000 mg - 80 tablets,SP306,Southwest,0,9.49,9.49,1
Dieter Coppens,Alabama,2648,Individual,900019334,Sales Associate I,Mitch White,05/01/2021,1105247,Retail,Supplements,Flaxseed Oil 1000mg - 90 capsules,SP304,Southeast,0,24.98,12.49,2
Dedie Pabelik,Florida,3992,Individual,900019334,Sales Associate I,Mitch White,05/01/2021,1105248,Retail,Fitness,Insulated water bottle - 40oz - Grey,FT895,Southeast,0,28.79,28.79,1
Leif Bleakley,Missouri,3047,Individual,900010859,Sales Representative,Nick Chen,05/01/2021,1105249,Retail,Mineral water,Mineral Water - Natural - 20oz - case,MW102,S Central East,0,12.99,12.99,1
Dena Rosberg,California,2638,Individual,900013621,Sales Associate,Hannah Rosenstock,05/01/2021,1105250,Retail,Supplements,Vitamin C-1000 mg - 80 tablets,SP306,Southwest,0,9.49,9.49,1
